sector_id,sector_name,backward_linkage,forward_linkage,is_key_sector
1,Paddy,2.0569339881508193,1.990449914476078,False
2,Wheat,1.507684683735533,1.3547323469568457,False
3,Jowar,2.2081817395765198,1.0720660357712968,False
4,Bajra,1.296106161028073,1.0956233051835182,False
5,Maize,1.5983532218735013,1.0910672623488826,False
6,Gram,1.363404832104991,1.1383682332051532,False
7,Pulses,1.8533530853644429,1.265856674173332,False
8,Sugarcane,1.2191529563729857,2.49944970196687,False
9,Groundnut,1.282249890036178,1.167407830984852,False
10,Coconut,1.4079310024078842,1.132188696282289,False
11,Other oilseeds,1.4588264092674017,2.1396021868867923,False
12,Jute,1.3898761765499292,1.40091407419751,False
13,Cotton,1.4193949141885105,1.710708240521416,False
14,Tea,1.173203719699265,1.3047182585215553,False
15,Coffee,1.5048561237814675,1.3237670768603722,False
16,Rubber,1.1397263473706443,1.1024118522938935,False
17,Tobacco,1.192868186597835,1.1894104505625434,False
18,Fruits,1.2044512598520176,1.5491646761649143,False
19,Vegetables,1.2201663897540227,1.0636120016050066,False
20,Other crops,1.4361815769390063,4.630912931494821,False
21,Milk and milk products,1.5306802223540115,2.2966246193623263,False
22,Poultry & Eggs,1.8984238070713997,1.2873484493595209,False
23,Other liv.st. produ.,2.1960083249066216,3.619595365924819,False
24,Animal Services,3.276500230815111,2.2687462478746285,False
25,Forestry and Logging,1.357511689464702,2.256805858015753,False
26,Fishing & Aquaculture,1.2759873594141955,1.244968673045323,False
27,Coal and Lignite,1.837084203785747,4.541217722172112,False
28,Crude petroleum,1.9307268643277824,9.061656085983365,False
29,Natural Gas,2.07411155205865,1.701813550886896,False
30,Iron ore,2.268491167821889,2.1043815707564737,False
31,Manganese ore,1.836584015584969,1.0741346742168985,False
32,Bauxite,1.9143628265817638,1.0708011004662676,False
33,Copper ore,1.4752884494176755,1.5125595889652208,False
34,Other Metallic minerals,2.2485904115464312,1.3909802513014609,False
35,Lime stone,1.9877772967330138,1.231741778485653,False
36,Mica,1.4513089930876315,1.000015670290412,False
37,"Other non metallic
 minerals",6.036091416316331,1.6734655931727453,False
38,Sugar,7.806337366351986,1.0588031696610514,False
39,"Khandsari, boora",7.826715121413818,1.0298453278799997,False
40,"Hydrogenated
 oil(vanaspati)",9.287575152397304,1.086266233007484,False
41,"Edible oils other than
 vanaspati",8.34808665358319,1.6535951223228627,False
42,Tea and coffee processing,7.22345312287979,1.0279486963032036,False
43,"Miscellaneous food
 products",7.951248333069939,1.4904746606800598,False
44,"Grain Mill products, starch and starch products",7.886302488951106,1.211304032464838,False
45,Beverages,6.735902071059112,1.047035543427024,False
46,Tobacco Products,1.7747152696585853,1.0471972080370424,False
47,"Khadi, cotton
 textiles(handlooms)",1.3356034763484335,1.1593706399900547,False
48,Cotton textiles,2.292327868514612,1.4811669978315514,False
49,Woolen textiles,1.9733763408038798,1.3450349575305511,False
50,Silk textiles,2.475035020993947,1.103557259430242,False
51,"Art silk, synthetic fiber
 textiles",2.7393149827115093,1.7686722586175097,False
52,"Jute, hemp, mesta textiles",2.1631957696398647,1.268224713592611,False
53,Carpet weaving,1.7882184721428314,1.0034811303745643,False
54,"Miscellaneous textile
 products",2.448410507463411,1.2502484592741498,False
55,Ready made garments,2.4029309358369866,1.6908543817420911,False
56,"Wood and wood products
 except furniture",2.196140175957274,2.083623589083866,False
57,"Paper, Paper products and
 newsprint",2.8019465572016085,3.675971430563448,True
58,"Publishing, printing and
 allied activities",1.6777259313684327,1.233652424260032,False
59,Furniture & Fixtures,2.2365456095748035,1.1964055252517385,False
60,Leather footwear,2.097082525715589,1.021484676967925,False
61,"Leather and leather
 products",2.644624433440173,1.3310152908049486,False
62,Rubber products,2.4953865422512687,1.9678586296059801,False
63,Plastic products,2.916138830328864,3.773908697041559,True
64,Petroleum products,2.590901735990966,12.329200243826666,True
65,Coal tar products,2.3428714529576373,1.2880654377237872,False
66,Inorganic heavy chemicals,3.0170840095300595,5.864811620629886,True
67,Organic heavy chemicals,2.819235753794556,7.996421015457155,True
68,Fertilizers,3.1692098861961444,2.246813607493209,False
69,Pesticides,3.24055504496401,2.074881161318229,False
70,"Paints, varnishes and
 lacquers",2.8343036859615824,1.4514564395594611,False
71,"Soaps, cosmetics &
 glycerin",3.0769886173093703,1.2601557313767378,False
72,"Synthetic fibers, resin",3.052158720857915,2.6139099300070177,True
73,Other chemicals,2.7370143378036307,3.863795517428938,True
74,Drugs and medicine,2.402424164105152,1.724376122700416,False
75,Structural clay products,2.234428583978374,1.2736796592225914,False
76,Cement,2.4706580086738343,1.3158195993199537,False
77,"Other non-metallic mineral
 prods.",2.770446537227374,1.8066113115641869,False
78,"Iron, steel and ferro alloys",2.7753855731960613,2.218640401524393,False
79,"Iron and steel casting &
 forging",2.6477156402984754,4.46051394508516,True
80,Iron and steel foundries,2.5900972124797375,3.8395169257857615,True
81,"Non ferrous basic metals
 (including alloys)",2.817683105415239,5.791816510159991,True
82,"Hand tools, hardware",2.1168477794534533,1.4349572063295661,False
83,"Miscellaneous metal
 products",2.3316483785076514,3.6235785512597465,False
84,"Tractors and agri.
 implements",2.2471819581876296,1.0433146846466737,False
85,Industrial machinery(F & T),2.6290383479025645,1.0507511206961724,False
86,"Industrial
 machinery(others)",2.2875545222068827,1.24189076215334,False
87,Machine tools,2.5649384568255127,1.1636713014841547,False
88,"Other non-electrical
 machinery",2.5142490120593464,1.6300486458563423,False
89,"Electrical industrial
 Machinery",2.285320661977653,1.134741919684212,False
90,Electrical wires & cables,2.475057764520979,1.1554495105775555,False
91,Batteries,1.938602344886454,1.1764343152650334,False
92,Other electrical Machinery,1.1611267479304652,2.180394936686107,False
93,Electrical appliances,2.5372370129664126,1.2578414999694356,False
94,"Electronic
 equipments(incl.TV)",2.394002070789237,1.6674211900730629,False
95,Watches and clocks,2.555852032964846,1.2169642891111443,False
96,"Communication
 equipment",1.9278199908516822,1.8400559871981366,False
97,Ships and boats,2.017552981890025,2.1134928276110583,False
98,Rail equipments,2.1307875562651297,2.8113997111438818,False
99,Motor vehicles,2.7320132195415225,2.079883898938175,False
100,Motor cycles and scooters,2.840187876277473,1.47297999949243,False
101,"Bicycles, cycle-rickshaw",2.706873681969811,1.0749238038045554,False
102,"Other transport
 equipments",2.2357377440184756,1.0582969756306144,False
103,Aircraft & spacecraft,1.5212281384492252,1.2925907114631277,False
104,"Medical, precision&optical
 instru.s",3.1312076202361303,1.4919412159707675,False
105,Jems & jewelry,4.198381023864932,2.322813487981855,False
106,"Miscellaneous
 manufacturing",3.2505731072320483,2.419245311070312,False
107,"Construction and
 construction services",2.397882484435348,5.065799801045241,False
108,Electricity,2.280380073475559,9.535949990398828,False
109,Water Supply,2.5246648214375567,2.4380435961742606,False
110,Railway Transport,1.71334708956352,2.6575737406283864,False
111,Land transport,2.125515804234678,9.905801033949652,False
112,Water Transport,2.3953626973721183,1.213233608703902,False
113,Air transport,2.6147703714109456,10.159682599208006,True
114,"Supportive and Auxiliary
 transport activities",2.0838054629945106,1.431253790521755,False
115,Storage and warehousing,2.275847500821926,4.061400022846314,False
116,Communication services,2.1262286338699887,17.277729906297616,False
117,Trade,1.8595936940327158,15.542086661039122,False
118,Hotels & Restaurant,2.259765435443744,2.3779330996265577,False
119,Financial services,1.5003884105387557,7.611910473856289,False
120,Insurance services,1.5688445819821224,1.4808075369700435,False
121,Ownership of dwellings,1.076183793573646,1.0,False
122,Education and research,1.5773253545863097,1.7474012680091122,False
123,Medical and Health,2.0686059370790204,1.0078938193223494,False
124,Legal services,1.993721126591162,1.5312599835672984,False
125,Computer related services,1.5045568463135175,1.0665414990472937,False
126,Other Business services,1.6426244970827595,9.695520417416061,False
127,Real estate services,1.9678685447228899,2.6536283776641056,False
128,"Renting of machinery &
 equipment",1.8890581616073112,1.4665855451025438,False
129,"Community, social and
 personal services",1.884343942563037,1.1138517782650017,False
130,Other services,1.7231940705019686,1.121708106935953,False
131,"Public administration and
 defence",1.6786228130128569,1.0,False
